"sample_id","organic_carbon"
"2009.43262402",2.05
"2009.44882714",3.26
"2009.47462636",1.99
"2009.47782686",1.85
"2009.46502158",8.24
"2009.46122074",1.74
"2009.47242638",4.45
"2009.46921612",1.05
"2009.51004188",34.26
"2009.53024506",42.27
"2009.44222484",2.02
"2009.501432",2.27
"2009.47722672",1.4
"2009.46181658",2.07
"2009.28082152",1.32
"2009.50644642",4.8
"2009.47663508",3.27
"2009.42582432",0.98
"2009.4928439",1.39
"2009.47863518",2.54
"2009.39443068",1.24
"2009.47642718",2.27
"2009.5148319",0.32
"2009.49163194",1.61
"2009.4970444",1.03
"2009.44042268",0.83
"2009.48561852",0.3
"2009.48601858",0.55
"2009.47582788",3.49
"2009.45162502",1.66
"2009.45362638",2.29
"2009.50604656",39.38
"2009.51804588",0.28
"2009.2670178",2.05
"2009.279019",1.04
"2009.27361846",0.93
"2009.46082066",1.19
"2009.45562268",1.81
"2009.45042128",2.4
"2009.44062468",0.91
"2009.42342416",1.7
"2009.50023072",0.91
"2009.39743292",2.1
"2009.28142186",1.79
"2009.5156478",18.6
"2009.49744332",24.26
"2009.46701612",0.54
"2009.46641646",2.05
"2009.28722166",1.32
"2009.45721648",0.86
"2009.46543422",4.08
"2009.45002236",1.21
"2009.5106433",10.4
"2009.47362862",1.86
"2009.5132336",0.7
"2009.47942086",10.81
"2009.51424438",4.85
"2009.50144222",3.45
"2009.49023104",16.97
"2009.46662794",4.45
"2009.4974422",2.05
"2009.28202196",2.59
"2009.28101854",2.75
"2009.4448251",1.59
"2009.51003522",0.9
"2009.5062517",1.94
"2009.48523354",2.87
"2009.42643536",2.21
"2009.27202042",2.45
"2009.27462072",2.57
"2009.49061964",0.26
"2009.46002792",3.78
"2009.39243178",1.17
"2009.4348236",0.82
"2009.28001832",2
"2009.48983324",3.33
"2009.28602222",3.81
"2009.47162666",3.75
"2009.41722446",1.08
"2009.48883498",4.34
"2009.4530269",1.76
"2009.4618222",0.9
"2009.45542694",3.66
"2009.28622188",2.7
"2009.42882416",1.68
"2009.4770154",1.95
"2009.45543016",3.39
"2009.44922246",0.76
"2009.41203306",5.82
"2009.5034325",1.02
"2009.42902464",1.1
"2009.48963172",2.55
"2009.4344237",2.23
"2009.40743266",2.92
"2009.50863188",0.4
"2009.51964708",1.72
"2009.50923428",3.91
"2009.46561584",1.86
"2009.42081964",1.59
"2009.2778215",4.28
"2009.46702646",3.67
"2009.47042114",1.36
"2009.27062032",1.75
"2009.49523186",3.42
"2009.41882386",0.3
"2009.47281612",0.1
"2009.48961954",0.71
"2009.42181956",1.19
"2009.43522284",1.63
"2009.47302014",0.56
"2009.28542144",3.11
"2009.38143104",0.85
"2009.48241678",0.63
"2009.45722084",1.77
"2009.48923238",1.06
"2009.50903682",20.46
"2009.26841764",2.85
"2009.4170243",0.78
"2009.50204242",2.52
"2009.51903736",6.3
"2009.462622",0.99
"2009.43262374",3.46
"2009.45202532",2.58
"2009.27881902",1.19
"2009.44962108",1.62
"2009.51224604",2.51
"2009.47801626",1.27
"2009.52144708",5.62
"2009.45462048",0.2
"2009.49023428",8.24
"2009.28042176",9.58
"2009.44302258",1.63
"2009.4780294",0.78
"2009.28041892",1.54
"2009.51423692",1.94
"2009.52823124",2.91
"2009.46422762",10.51
"2009.40083258",2.81
"2009.446427",3.4
"2009.47663058",3.92
"2009.46823306",0.87
"2009.4992197",1.44
"2009.26761768",5.95
"2009.42982432",1.59
"2009.46502968",0.7
"2009.45702042",0.85
"2009.27241924",1.3
"2009.52584068",2.96
"2009.50444324",12.04
"2009.4844183",2.27
"2009.46922116",1.08
"2009.41242442",1.34
"2009.42443692",3.4
"2009.26841758",1.03
"2009.47862964",1.36
"2009.45541648",1.61
"2009.28282118",0.83
"2009.44762178",1.9
"2009.45823044",2.49
"2009.47121622",1.05
"2009.4686161",0.84
"2009.50064986",5.32
"2009.47681988",1.61
"2009.46501592",1
"2009.47763266",0.53
"2009.28362162",1.15
"2009.4708167",2.44
"2009.51984664",1.71
"2009.27461892",2.27
"2009.49863028",1.78
"2009.4110331",1.47
"2009.48643478",4.25
"2009.52704718",3.41
"2009.2842206",2.25
"2009.45023006",2.85
"2009.50422996",5.04
"2009.5238455",2.72
"2009.50564314",10.11
"2009.47402932",2.26
"2009.50164564",47.55
"2009.50183058",1.65
"2009.48561838",1.05
"2009.27241888",1.1
"2009.2774189",1.53
"2009.38643154",1.47
"2009.47523214",0.66
"2009.47541574",1.58
"2009.49223268",2.86
"2009.506443",2.95
"2009.46323266",2.09
"2009.4720267",2.18
"2009.43622262",1.23
"2009.52323304",1
"2009.47221618",0.84
"2009.44262496",1.38
"2009.51483406",41.49
"2009.2710176",2.38
"2009.46862114",4.13
"2009.40163342",1.03
"2009.28642124",0.63
"2009.53504414",2.67
"2009.27382028",2.62
"2009.28021894",3.57
"2009.4896301",2.05
"2009.27981936",0.91
"2009.51804718",3.74
"2009.5172305",1.17
"2009.4740278",5.34
"2009.2820193",1.29
"2009.52764572",1.33
"2009.44622226",0.78
"2009.52724638",3.57
"2009.48781976",0.47
"2009.2934217",0.34
"2009.50783306",1.43
"2009.52623628",1.17
"2009.49805122",4.63
"2009.49423462",1.29
"2009.50243348",4.46
"2009.53563806",31.32
"2009.53743906",44.43
"2009.44282488",2.03
"2009.50643022",1.69
"2009.39343236",1.3
"2009.50323462",0.25
"2009.51384212",4.13
"2009.43163742",36.06
"2009.48042028",1.43
"2009.47043068",1.7
"2009.45002146",1.51
"2009.441022",0.91
"2009.4584226",0.82
"2009.52824618",14
"2009.52944548",2.72
"2009.46141618",2.35
"2009.50143052",0.59
"2009.38183132",3.45
"2009.48162004",1.52
"2009.44163598",1.8
"2009.4702212",1.58
"2009.4732156",1.39
"2009.27281742",0.92
"2009.43002406",2.89
"2009.4672164",2.63
"2009.47903018",2.26
"2009.44202202",0.1
"2009.27541828",0.82
"2009.47862672",0.47
"2009.46382834",2.89
"2009.52124838",1.96
"2009.50943352",39.79
"2009.4644292",1
"2009.48803212",2.14
"2009.50464368",1.05
"2009.40203054",4.87
"2009.28242028",1.37
"2009.453421",1.03
"2009.47462916",1.65
"2009.5168485",4.03
"2009.44742162",1.1
"2009.46101646",0.86
"2009.47681542",1.72
"2009.52224764",2.67
"2009.50684232",9.35
"2009.46181662",3.32
"2009.50904556",4.18
"2009.4984197",0.76
"2009.4036325",2.76
"2009.40803298",4.32
"2009.51442734",2.15
"2009.2864224",2.31
"2009.52624724",43
"2009.45102102",0.91
"2009.26941984",1.82
"2009.48262028",1.27
"2009.52704318",1.55
"2009.48781882",1.52
"2009.48701788",1.32
"2009.52324584",3.2
"2009.47982846",1.82
"2009.40422976",2.7
"2009.47083048",30.8
"2009.46963306",10.66
"2009.4872199",1.07
"2009.52484448",13.07
"2009.5150449",0.83
"2009.42401946",1.4
"2009.527043",2.66
"2009.44442154",1.16
"2009.4470242",1.15
"2009.49844598",47.68
"2009.52844556",5.72
"2009.4732264",2.53
"2009.28642168",0.57
"2009.2850214",2.24
"2009.45662242",0.81
"2009.49563436",13.49
"2009.40103238",1.52
"2009.4532299",2.47
"2009.53723904",0.79
"2009.27721828",1.3
"2009.48061702",1.43
"2009.27541792",2.46
"2009.47342998",1.67
"2009.46861592",0.87
"2009.27901954",1.17
"2009.48623348",35.54
"2009.52163682",45.63
"2009.26741964",6.38
"2009.28762162",0.58
"2009.47042684",3.54
"2009.5212465",3.45
"2009.52803194",0.67
"2009.49183244",13.07
"2009.47702812",1.73
"2009.4412237",1.02
"2009.46801642",1.87
"2009.28762198",2.36
"2009.46422928",1.96
"2009.42241966",1.08
"2009.50143092",1.17
"2009.42261906",2.99
"2009.46262236",1.24
"2009.48742032",2.08
"2009.46882726",2.53
"2009.49943106",0.85
"2009.45923018",3.27
"2009.295222",1.16
"2009.52243816",21.13
"2009.45382276",1.06
"2009.50764348",7.7
"2009.44482626",1.27
"2009.49924386",34.91
"2009.47382664",1.68
"2009.27401804",0.57
"2009.40823238",1.83
"2009.46901572",0.59
"2009.50384566",37.62
"2009.46543174",0.33
"2009.51283428",1.99
"2009.4510254",2.96
"2009.51363374",1.21
"2009.47401636",1.4
"2009.5008445",47.16
"2009.44282288",0.67
"2009.49924278",47.92
"2009.5050423",2.2
"2009.4646165",1.14
"2009.46102244",0.85
"2009.50904714",33.71
"2009.51483172",1.62
"2009.2930223",0.52
"2009.5196394",8.7
"2009.48944422",8.69
"2009.4856196",0.52
"2009.28582036",2.45
"2009.51364274",1.99
"2009.27101814",2.19
"2009.29042158",1.23
"2009.51263278",11.16
"2009.51424242",2
"2009.43222394",0.36
"2009.49704588",1.01
"2009.51563688",7.78
"2009.49964622",46.48
"2009.50644314",2.04
"2009.26942016",1.01
"2009.50424332",2.99
"2009.50504316",4.29
"2009.46362822",33.03
"2009.28902084",0.49
"2009.42662506",1.65
"2009.49083136",1.2
"2009.27641878",1.34
"2009.49063318",2.53
"2009.40703266",2.83
"2009.4902341",5.02
"2009.44122406",1.58
"2009.48421966",0.98
"2009.45821626",0.92
"2009.5010422",0.41
"2009.50843088",2.22
"2009.51384834",1.84
"2009.4770163",1.44
"2009.50864658",27.07
"2009.45742532",0.97
"2009.49423254",11.69
"2009.5214427",4.16
"2009.44182422",3.04
"2009.47161642",0.91
"2009.52544616",2.01
"2009.4996419",3.84
"2009.42221964",1.07
"2009.49161826",0.96
"2009.5008424",1.5
"2009.4774328",4.26
"2009.47561576",2.88
"2009.50684338",1.39
"2009.4706199",3.23
"2009.46322176",1
"2009.41622476",1.53
"2009.48821918",0.84
"2009.50244184",2.25
"2009.52624318",2.75
"2009.4674157",0.83
"2009.27802188",5.45
"2009.45602996",2.41
"2009.47081644",2.43
"2009.507848",49.83
"2009.51764686",1.28
"2009.51004346",5.5
"2009.50203822",2.81
"2009.47542034",1.49
"2009.51364638",1.71
"2009.46821592",0.44
"2009.45482304",0.61
"2009.53583858",0.33
"2009.427437",2.14
"2009.43942348",2.63
"2009.47643348",36.57
"2009.4736161",0.92
"2009.279819",1.1
"2009.27821838",1.42
"2009.45122146",1.15
"2009.5112371",0.57
"2009.4002323",0.97
"2009.4566301",1.62
"2009.28902202",0.43
"2009.46823144",4.87
"2009.50024296",2.21
"2009.4730317",0.87
"2009.5016454",0.1
"2009.52664686",0.75
"2009.4714332",2.97
"2009.4746301",2.03
"2009.4966435",21.59
"2009.50723994",4.28
"2009.4744267",1.31
"2009.51103668",37.88
"2009.51264552",1.31
"2009.51944092",47.39
"2009.46482646",3.77
"2009.47623092",25.81
"2009.5050443",2
"2009.52483152",11.41
"2009.42501808",1.5
"2009.5276408",39.07
"2009.27121954",2.32
"2009.45302178",0.64
"2009.5234428",2.46
"2009.47362636",3.02
"2009.5036424",4.09
"2009.5068311",1.99
"2009.51003378",1.43
"2009.4584163",1.22
"2009.46903074",2.99
"2009.45662592",5.17
"2009.52404076",12.67
"2009.50004308",3.02
"2009.46202206",2.36
"2009.39943234",2.83
"2009.45423",1.06
"2009.47721988",2.58
"2009.5226431",3.15
"2009.4682162",1.65
"2009.51044686",31.85
"2009.4552291",2.84
"2009.4688271",2.12
"2009.44682182",1.45
"2009.46522836",7.41
"2009.43383736",0.98
"2009.27981828",0.52
"2009.26961834",1.53
"2009.40863254",2.64
"2009.50903418",25.13
"2009.49743428",4.48
"2009.52464546",9.5
"2009.51904556",0.57
"2009.28642186",0.72
"2009.26841826",2.03
"2009.50484564",44.36
"2009.44503514",0.1
"2009.44382686",4.58
"2009.47001602",0.81
"2009.51844666",5.11
"2009.51302992",3.43
"2009.5116328",16.01
"2009.47402702",15.39
"2009.4124332",2.76
"2009.48623518",0.6
"2009.49385038",1.1
"2009.46422942",2.08
"2009.49244412",39.43
"2009.48583288",4.24
"2009.46541616",1.99
"2009.2742178",0.81
"2009.46941586",1.12
"2009.52623148",3.05
"2009.4716265",3.4
"2009.48362026",2.78
"2009.47802732",3.48
"2009.50204314",3
"2009.48985022",5.7
"2009.27641832",0.86
"2009.51824026",2.48
"2009.4990423",3.17
"2009.39723232",6.28
"2009.42683702",1.84
"2009.47621616",1.54
"2009.52543194",3.19
"2009.46962744",22.78
"2009.46182134",1.86
"2009.47182042",0.8
"2009.38823154",1.47
"2009.53744578",1.84
"2009.42802392",4.1
"2009.27522042",1.26
"2009.27102048",0.1
"2009.47023028",2.94
"2009.46023042",3.71
"2009.45682806",1.74
"2009.5214415",1.06
"2009.49083096",0.81
"2009.27942164",12.52
"2009.52683796",35.51
"2009.50523872",5.45
"2009.51044304",44.91
"2009.28742034",0.62
"2009.5178426",2.69
"2009.4814316",0.1
"2009.47662698",1.41
"2009.2836222",2.87
"2009.47382884",1.12
"2009.50464292",4.66
"2009.47302882",1.58
"2009.41722504",2.13
"2009.49964362",7.61
"2009.45162244",1.3
"2009.48421976",1.4
"2009.49304508",18.63
"2009.5022434",3.74
"2009.28782118",0.66
"2009.50184236",4.64
"2009.45542092",1.48
"2009.49664292",13.49
"2009.4510294",6.32
"2009.44862218",2.63
"2009.4930183",1.01
"2009.4800271",0.86
"2009.46103936",3.26
"2009.45822958",2.44
"2009.40243246",0.98
"2009.28321934",1.82
"2009.41782412",0.82
"2009.4644211",2.25
"2009.5262431",5.57
"2009.5304414",40.44
"2009.45122134",1.08
"2009.42323708",1.85
"2009.48903448",1.1
"2009.26761998",1.81
"2009.50063132",8.85
"2009.4080328",4.53
"2009.48341946",1.47
"2009.47101576",1.21
"2009.51364724",52.48
"2009.49865206",1.22
"2009.29042132",1.02
"2009.50063396",14.4
"2009.51423746",30.01
"2009.51184584",53.42
"2009.51984142",2.97
"2009.49705016",1.15
"2009.39103154",0.98
"2009.47821576",5.26
"2009.46422682",4.26
"2009.41602484",1.44
"2009.47983192",1.85
"2009.53084472",16.53
"2009.4442236",1.26
"2009.39783316",5.29
"2009.4198248",1.46
"2009.46563124",2
"2009.44662124",1.6
"2009.29382218",0.8
"2009.4892308",0.93
"2009.50684304",19.39
"2009.4444251",2.15
"2009.4038336",1.11
"2009.47122072",1.59
"2009.50403388",1.73
"2009.52124484",7.94
"2009.50543292",1.12
"2009.28682136",0.86
"2009.42181952",3.01
"2009.50244278",5.03
"2009.4878334",1.67
